id,name,price
1,ピータン豆腐,500
2,ピータン,400
3,濃厚中華あえ,450
4,チャーシュー,700
5,シューマイ,500
6,餃子,430
7,水餃子,500
8,肉スープ,600
9,玉子スープ,500
10,野菜スープ,500
11,焼肉ラーメン,760
12,極辛ラーメン,760
13,坦坦メン,760
14,天津メン,820
15,麻婆メン,760
16,味噌ラーメン,600
17,とりそば,760
18,ザーサイラーメン,650
19,高菜ラーメン,650
20,葱ラーメン,650
21,韮ラーメン,650
22,もやしそば,600
23,トマトタンメン,760
24,タンメン,600
25,チャーシューメン,760
26,チャーシューワンタンメン,820
27,ワンタンメン,600
28,ワンタン,550
29,キムチラーメン,760
30,メンマラーメン,650
31,にんにくラーメン,500
32,ラーメン 並,480
33,ラーメン 大,580
34,ライス 並,220
35,ライス 大,300
36,お新香,230
37,梅キュー,380
38,冷奴,280
39,冷やしトマト,330
40,キムチ,330
41,ザーサイ,280
42,メンマ,380
43,山芋浅漬け,380
44,蒸し鶏,450
45,牛もつ煮込み,400
46,焼きそば,650
47,固いやきそば,650
48,天津丼,800
49,燒肉丼,750
50,麻婆井,750
51,中華丼,650
52,キムチヤーハン,750
53,高菜チャーハン,750
54,ザーサイチャーハン,750
55,チャーハン,650
56,かに玉,820
57,麻婆豆腐,600
58,肉キムチ炒め,600
59,韮玉,600
60,韮炒め,500
61,肉韮炒め,650
62,肉レバ炒め,650
63,肉野菜炒め,550
64,もやし炒め,450
65,野菜炒め,450
66,トマト玉子炒め,650
67,木耳玉子炒め,600
